epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.9095,2.74898,6.67114,2.26053,0.00415,0.35228,0.0052,0.00152,2.55588,4.92577,2.10309,0.000301665,0.000301665,0.000301665
2,61.5098,2.47919,4.94626,2.03704,0.3999,0.09461,0.03699,0.01183,2.48184,4.72558,2.24303,0.000592693,0.000592693,0.000592693
3,91.0588,2.4058,4.00749,2.01233,0.06763,0.06301,0.04536,0.01409,2.44847,3.62487,2.15878,0.000871722,0.000871722,0.000871722
4,120.994,2.36973,3.66555,1.99886,0.28393,0.14596,0.10046,0.03062,2.30417,4.00107,2.21935,0.000855005,0.000855005,0.000855005
5,151.595,2.30182,3.35479,1.94769,0.16321,0.13531,0.10752,0.03144,2.44246,3.23715,2.12445,0.000837007,0.000837007,0.000837007
6,182.701,2.23885,3.141,1.92593,0.18347,0.16282,0.15548,0.05613,2.32474,2.97767,2.11759,0.000819009,0.000819009,0.000819009
7,214.033,2.17813,2.97462,1.89935,0.23293,0.17757,0.15715,0.04965,2.26886,3.0402,2.1004,0.000801011,0.000801011,0.000801011
8,245.682,2.14966,2.85992,1.88891,0.20212,0.21463,0.15999,0.06055,2.2839,3.08755,2.16669,0.000783013,0.000783013,0.000783013
9,277.497,2.12244,2.79111,1.85667,0.21592,0.20712,0.18403,0.06379,2.26531,2.95704,2.0383,0.000765014,0.000765014,0.000765014
10,309.725,2.07548,2.70946,1.82407,0.29432,0.20741,0.17396,0.06707,2.25601,2.98616,2.05416,0.000747016,0.000747016,0.000747016
11,341.98,2.0553,2.62986,1.81514,0.55915,0.19466,0.21799,0.08162,2.33825,2.85339,2.10759,0.000729018,0.000729018,0.000729018
12,374.2,2.01933,2.52392,1.78739,0.31222,0.19324,0.17834,0.06372,2.30946,3.02401,2.18093,0.00071102,0.00071102,0.00071102
13,406.635,1.98633,2.46939,1.74189,0.29387,0.27803,0.21234,0.07571,2.35379,2.92884,2.09882,0.000693022,0.000693022,0.000693022
14,438.927,1.97638,2.36194,1.7432,0.24897,0.27279,0.19086,0.0744,2.3396,2.90411,2.11918,0.000675023,0.000675023,0.000675023
15,471.348,1.93576,2.31135,1.70928,0.28825,0.21643,0.19789,0.06823,2.40258,2.78447,2.23627,0.000657025,0.000657025,0.000657025
16,503.859,1.91238,2.26948,1.71329,0.25837,0.27325,0.22377,0.08136,2.40043,2.80532,2.21681,0.000639027,0.000639027,0.000639027
17,536.087,1.90015,2.20117,1.69905,0.30981,0.23801,0.22913,0.08263,2.36404,2.81031,2.19185,0.000621029,0.000621029,0.000621029
18,568.592,1.86561,2.10935,1.65706,0.24882,0.30157,0.22483,0.09173,2.35585,2.78459,2.20343,0.000603031,0.000603031,0.000603031
19,601.459,1.83945,2.08761,1.65413,0.42588,0.26648,0.26188,0.08913,2.35534,2.76358,2.18619,0.000585032,0.000585032,0.000585032
20,634.171,1.8046,1.98676,1.62736,0.303,0.22289,0.23998,0.09358,2.29567,2.69017,2.14106,0.000567034,0.000567034,0.000567034
21,667.217,1.77772,1.92038,1.60767,0.32052,0.22305,0.22794,0.08984,2.34288,2.86344,2.20314,0.000549036,0.000549036,0.000549036
22,699.853,1.75605,1.86662,1.58887,0.28301,0.2375,0.22249,0.08077,2.38761,2.69446,2.21328,0.000531038,0.000531038,0.000531038
23,732.78,1.745,1.86106,1.57531,0.28008,0.25762,0.24061,0.0864,2.43392,2.80441,2.36461,0.00051304,0.00051304,0.00051304
24,765.98,1.73424,1.77487,1.55782,0.26074,0.28544,0.24532,0.09209,2.32357,2.73818,2.20641,0.000495041,0.000495041,0.000495041
25,799.132,1.69645,1.74141,1.54885,0.28275,0.28122,0.24608,0.09014,2.41945,2.847,2.29471,0.000477043,0.000477043,0.000477043
26,832.209,1.65647,1.69236,1.51401,0.35441,0.27266,0.26402,0.09477,2.42268,2.73844,2.31345,0.000459045,0.000459045,0.000459045
27,865.072,1.63216,1.63846,1.47756,0.28077,0.29929,0.22831,0.0818,2.45461,2.8264,2.34189,0.000441047,0.000441047,0.000441047
28,898.246,1.61193,1.56052,1.47505,0.3306,0.22598,0.21881,0.07986,2.42996,2.95949,2.35295,0.000423049,0.000423049,0.000423049
29,931.792,1.59364,1.53041,1.47704,0.32582,0.27472,0.25519,0.08946,2.50746,2.81481,2.4067,0.00040505,0.00040505,0.00040505
30,964.766,1.5685,1.49651,1.46534,0.3919,0.27903,0.23572,0.08922,2.50382,2.86804,2.35708,0.000387052,0.000387052,0.000387052
31,998.132,1.55138,1.44081,1.4387,0.35807,0.25171,0.2332,0.08928,2.55194,2.86085,2.42454,0.000369054,0.000369054,0.000369054
32,1032.12,1.53784,1.41148,1.41914,0.34415,0.25067,0.24967,0.08475,2.51897,2.91092,2.43946,0.000351056,0.000351056,0.000351056
33,1065.99,1.52119,1.38625,1.41644,0.28969,0.30848,0.24159,0.08008,2.58158,2.99603,2.49661,0.000333058,0.000333058,0.000333058
34,1099.79,1.49846,1.34554,1.39536,0.29284,0.26699,0.23483,0.0845,2.55142,3.02714,2.43923,0.000315059,0.000315059,0.000315059
35,1133.71,1.46673,1.30085,1.37742,0.34189,0.25409,0.23707,0.0848,2.53724,2.96357,2.46625,0.000297061,0.000297061,0.000297061
36,1167.9,1.43585,1.26361,1.37019,0.30516,0.2626,0.23872,0.09179,2.53122,3.00406,2.46075,0.000279063,0.000279063,0.000279063
37,1202.23,1.43415,1.25076,1.36187,0.42072,0.28514,0.26741,0.09616,2.50785,2.97289,2.45465,0.000261065,0.000261065,0.000261065
38,1237.03,1.39914,1.19611,1.32645,0.29656,0.27997,0.25585,0.09395,2.53528,3.07367,2.47282,0.000243067,0.000243067,0.000243067
39,1271.6,1.39153,1.18128,1.3276,0.36774,0.25882,0.25169,0.0915,2.56556,3.02344,2.52996,0.000225068,0.000225068,0.000225068
40,1306.49,1.37425,1.15248,1.31333,0.36548,0.24946,0.23898,0.09268,2.54314,3.19925,2.47423,0.00020707,0.00020707,0.00020707
41,1355.92,1.30313,1.0239,1.3449,0.39594,0.25218,0.24885,0.09587,2.58197,3.02451,2.53083,0.000189072,0.000189072,0.000189072
42,1389.15,1.27513,0.92636,1.31775,0.32894,0.25666,0.2455,0.09704,2.58775,2.97448,2.53247,0.000171074,0.000171074,0.000171074
43,1422.91,1.24572,0.8855,1.29175,0.34869,0.27561,0.25435,0.09243,2.64778,3.02547,2.60648,0.000153076,0.000153076,0.000153076
44,1457.63,1.21596,0.85645,1.27073,0.35784,0.26926,0.26883,0.09769,2.56316,3.10342,2.50307,0.000135077,0.000135077,0.000135077
45,1491.97,1.19518,0.8118,1.26031,0.26933,0.29744,0.25851,0.09939,2.55787,3.10915,2.50613,0.000117079,0.000117079,0.000117079
46,1526.56,1.15978,0.80301,1.23082,0.35218,0.23792,0.25641,0.09908,2.61625,3.18413,2.58058,9.9081e-05,9.9081e-05,9.9081e-05
47,1561.34,1.14128,0.77951,1.22695,0.25999,0.28899,0.25351,0.09774,2.66069,3.1925,2.58269,8.10828e-05,8.10828e-05,8.10828e-05
48,1596.27,1.10843,0.7591,1.19516,0.35084,0.25314,0.27151,0.10173,2.67049,3.09998,2.64577,6.30846e-05,6.30846e-05,6.30846e-05
49,1630.99,1.10379,0.73766,1.19631,0.38531,0.25076,0.2639,0.09903,2.66083,3.20794,2.62599,4.50864e-05,4.50864e-05,4.50864e-05
50,1665.54,1.07937,0.73364,1.18488,0.35985,0.24393,0.26177,0.10079,2.65279,3.24646,2.61988,2.70882e-05,2.70882e-05,2.70882e-05
